"ST","state_county5","fips","lon","lat","den","r0.est","r0.est.cor","r0.l66.cor","r0.u66.cor","r0.pred","r0.pred.se","R0.pred","R0.pred.l66","R0.pred.u66"
"AL","AL_Autauga Coun",1001,-86.494165,32.500389,35.6848347487011,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.100143018770717,0.0285685185769466,2.0073659894771,1.66325060480091,2.40342822784235
"AL","AL_Baldwin Coun",1003,-87.762381,30.548923,42.5198148937258,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.116898932611277,0.0269516425448049,2.23307851000428,1.87882555201008,2.63588927774172
"AL","AL_Barbour Coun",1005,-85.310038,31.844036,10.5366087749173,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0924764710881105,0.0278380976969819,1.91010561846497,1.58703816630998,2.2813628924599
"AL","AL_Bibb County,",1007,-87.127659,33.030921,13.8231261870222,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0938956616643406,0.0286886735364368,1.92783171525982,1.59318213661571,2.31388400889886
"AL","AL_Blount Count",1009,-86.591491,33.955243,34.314496473097,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0901277645210267,0.0283241155011386,1.88104448662919,1.55668220186524,2.25493426270498
"AL","AL_Bullock Coun",1011,-85.701192,32.116327,6.22896145720911,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0894947408151548,0.0281576727396906,1.87327029112128,1.55172927330959,2.24366261389943
"AL","AL_Butler Count",1013,-86.65355,31.773539,9.651678428782,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0975408845008633,0.0285596576068673,1.97393937720769,1.63443205704985,2.36495593282524
"AL","AL_Calhoun Coun",1015,-85.819442,33.72546,71.6307727909646,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0933948927084783,0.0276149597230312,1.9215626339339,1.59939153029007,2.29128783627572
"AL","AL_Chambers Cou",1017,-85.266474,32.860439,21.2872947234984,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0887719113141359,0.0272719962642705,1.86442337529876,1.55345656178386,2.22111398703974
"AL","AL_Cherokee Cou",1019,-85.629194,34.179333,16.8572079428878,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0798135290021502,0.0272113394683615,1.75742225825476,1.46124488607575,2.09785511252932
"AL","AL_Chilton Coun",1021,-86.687406,32.877547,24.4773604228052,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0960447149655815,0.0286113735943427,1.95491364293592,1.61741585291378,2.3438734674079
"AL","AL_Choctaw Coun",1023,-88.264164,32.016562,5.27807986399774,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.102098170825242,0.0275367897152513,2.03276494100372,1.69692842888289,2.41714720735813
"AL","AL_Clarke Count",1025,-87.815673,31.685685,7.28125381984942,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.103065731759532,0.0276866840873341,2.04542474685875,1.70623901195646,2.43382786781553
"AL","AL_Clay County,",1027,-85.820227,33.272412,8.43174381650622,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0830452115638011,0.0278113227468147,1.79546206032563,1.48806237156771,2.14956690354856
"AL","AL_Cleburne Cou",1029,-85.494315,33.62977,10.2605407330814,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.079832390911652,0.0271251873634839,1.75764246269779,1.46230773134504,2.0969555239083
"AL","AL_Coffee Count",1031,-85.904715,31.354433,29.696914767565,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.102406306359788,0.0285370764714594,2.03679014974823,1.68907776965248,2.43668717571342
"AL","AL_Colbert Coun",1033,-87.685151,34.723385,34.1991690642113,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0903227445309819,0.0286098971533942,1.88344402683006,1.55571734840309,2.26173316139175
"AL","AL_Conecuh Coun",1035,-86.996483,31.418674,5.46469697605274,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0983499159520036,0.0283274589625949,1.98428610654129,1.64595623618024,2.37341503648078
"AL","AL_Coosa County",1037,-86.155035,32.975932,6.17788495484456,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0854080623271129,0.0282840964840135,1.82367366234016,1.50755782993644,2.18845663100031
"AL","AL_Covington Co",1039,-86.410955,31.282449,13.7024650942004,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.100210831384068,0.0286149455290049,2.00824284703704,1.66348988202888,2.40512224859223
"AL","AL_Crenshaw Cou",1041,-86.29708,31.743487,8.70405632230169,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0954722796905372,0.0285680675066245,1.94767164167663,1.61163061527206,2.33492981168317
"AL","AL_Cullman Coun",1043,-86.831859,34.162362,42.8463317956119,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.0914652480088988,0.0283941578327416,1.89755159717205,1.57019852277828,2.27488326943894
"AL","AL_Dale County,",1045,-85.641269,31.383346,33.738629314822,0.0520531987929581,0.0823339999085427,0.0479505059904991,0.115913727086426,0.102248896178009,0.0283702326700162,2.03473312322228,1.68918458062896,2.43183369179433
